name,line,column,file
sys,2,8,data/repos/BantEnjoer/First_Project/painter.py
random,2,13,data/repos/BantEnjoer/First_Project/painter.py
argparse,2,21,data/repos/BantEnjoer/First_Project/painter.py
numpy,3,8,data/repos/BantEnjoer/First_Project/painter.py
np,3,8,data/repos/BantEnjoer/First_Project/painter.py
math,4,8,data/repos/BantEnjoer/First_Project/painter.py
time,5,8,data/repos/BantEnjoer/First_Project/painter.py
PIL,6,1,data/repos/BantEnjoer/First_Project/painter.py
Image,6,17,data/repos/BantEnjoer/First_Project/painter.py
out,7,1,data/repos/BantEnjoer/First_Project/painter.py
sys,7,7,data/repos/BantEnjoer/First_Project/painter.py
stdout,7,7,data/repos/BantEnjoer/First_Project/painter.py
gscale1,12,1,data/repos/BantEnjoer/First_Project/painter.py
gscale2,15,1,data/repos/BantEnjoer/First_Project/painter.py
getAverageL,18,1,data/repos/BantEnjoer/First_Project/painter.py
image,18,17,data/repos/BantEnjoer/First_Project/painter.py
im,23,5,data/repos/BantEnjoer/First_Project/painter.py
np,23,10,data/repos/BantEnjoer/First_Project/painter.py
array,23,10,data/repos/BantEnjoer/First_Project/painter.py
image,23,19,data/repos/BantEnjoer/First_Project/painter.py
w,26,5,data/repos/BantEnjoer/First_Project/painter.py
h,26,8,data/repos/BantEnjoer/First_Project/painter.py
im,26,12,data/repos/BantEnjoer/First_Project/painter.py
shape,26,12,data/repos/BantEnjoer/First_Project/painter.py
np,29,12,data/repos/BantEnjoer/First_Project/painter.py
average,29,12,data/repos/BantEnjoer/First_Project/painter.py
im,29,23,data/repos/BantEnjoer/First_Project/painter.py
reshape,29,23,data/repos/BantEnjoer/First_Project/painter.py
w,29,34,data/repos/BantEnjoer/First_Project/painter.py
h,29,38,data/repos/BantEnjoer/First_Project/painter.py
covertImageToAscii,32,1,data/repos/BantEnjoer/First_Project/painter.py
fileName,32,24,data/repos/BantEnjoer/First_Project/painter.py
cols,32,34,data/repos/BantEnjoer/First_Project/painter.py
scale,32,40,data/repos/BantEnjoer/First_Project/painter.py
moreLevels,32,47,data/repos/BantEnjoer/First_Project/painter.py
gscale1,37,5,data/repos/BantEnjoer/First_Project/painter.py
gscale2,37,5,data/repos/BantEnjoer/First_Project/painter.py
image,40,5,data/repos/BantEnjoer/First_Project/painter.py
Image,40,13,data/repos/BantEnjoer/First_Project/painter.py
open,40,13,data/repos/BantEnjoer/First_Project/painter.py
fileName,40,24,data/repos/BantEnjoer/First_Project/painter.py
convert,40,13,data/repos/BantEnjoer/First_Project/painter.py
W,43,5,data/repos/BantEnjoer/First_Project/painter.py
H,43,8,data/repos/BantEnjoer/First_Project/painter.py
image,43,12,data/repos/BantEnjoer/First_Project/painter.py
size,43,12,data/repos/BantEnjoer/First_Project/painter.py
image,43,27,data/repos/BantEnjoer/First_Project/painter.py
size,43,27,data/repos/BantEnjoer/First_Project/painter.py
w,46,5,data/repos/BantEnjoer/First_Project/painter.py
W,46,9,data/repos/BantEnjoer/First_Project/painter.py
cols,46,13,data/repos/BantEnjoer/First_Project/painter.py
h,49,5,data/repos/BantEnjoer/First_Project/painter.py
w,49,9,data/repos/BantEnjoer/First_Project/painter.py
scale,49,13,data/repos/BantEnjoer/First_Project/painter.py
rows,52,5,data/repos/BantEnjoer/First_Project/painter.py
int,52,12,data/repos/BantEnjoer/First_Project/painter.py
H,52,16,data/repos/BantEnjoer/First_Project/painter.py
h,52,20,data/repos/BantEnjoer/First_Project/painter.py
cols,56,8,data/repos/BantEnjoer/First_Project/painter.py
W,56,15,data/repos/BantEnjoer/First_Project/painter.py
rows,56,20,data/repos/BantEnjoer/First_Project/painter.py
H,56,27,data/repos/BantEnjoer/First_Project/painter.py
print,57,9,data/repos/BantEnjoer/First_Project/painter.py
exit,58,9,data/repos/BantEnjoer/First_Project/painter.py
aimg,61,5,data/repos/BantEnjoer/First_Project/painter.py
j,63,9,data/repos/BantEnjoer/First_Project/painter.py
range,63,14,data/repos/BantEnjoer/First_Project/painter.py
rows,63,20,data/repos/BantEnjoer/First_Project/painter.py
y1,64,9,data/repos/BantEnjoer/First_Project/painter.py
int,64,14,data/repos/BantEnjoer/First_Project/painter.py
j,64,18,data/repos/BantEnjoer/First_Project/painter.py
h,64,22,data/repos/BantEnjoer/First_Project/painter.py
y2,65,9,data/repos/BantEnjoer/First_Project/painter.py
int,65,14,data/repos/BantEnjoer/First_Project/painter.py
j,65,19,data/repos/BantEnjoer/First_Project/painter.py
h,65,28,data/repos/BantEnjoer/First_Project/painter.py
j,68,12,data/repos/BantEnjoer/First_Project/painter.py
rows,68,17,data/repos/BantEnjoer/First_Project/painter.py
y2,69,13,data/repos/BantEnjoer/First_Project/painter.py
H,69,18,data/repos/BantEnjoer/First_Project/painter.py
aimg,72,9,data/repos/BantEnjoer/First_Project/painter.py
append,72,9,data/repos/BantEnjoer/First_Project/painter.py
i,74,13,data/repos/BantEnjoer/First_Project/painter.py
range,74,18,data/repos/BantEnjoer/First_Project/painter.py
cols,74,24,data/repos/BantEnjoer/First_Project/painter.py
x1,77,13,data/repos/BantEnjoer/First_Project/painter.py
int,77,18,data/repos/BantEnjoer/First_Project/painter.py
i,77,22,data/repos/BantEnjoer/First_Project/painter.py
w,77,26,data/repos/BantEnjoer/First_Project/painter.py
x2,78,13,data/repos/BantEnjoer/First_Project/painter.py
int,78,18,data/repos/BantEnjoer/First_Project/painter.py
i,78,23,data/repos/BantEnjoer/First_Project/painter.py
w,78,32,data/repos/BantEnjoer/First_Project/painter.py
i,81,16,data/repos/BantEnjoer/First_Project/painter.py
cols,81,21,data/repos/BantEnjoer/First_Project/painter.py
x2,82,17,data/repos/BantEnjoer/First_Project/painter.py
W,82,22,data/repos/BantEnjoer/First_Project/painter.py
img,85,13,data/repos/BantEnjoer/First_Project/painter.py
